User_ID,Signup_Date,Region,Acquisition_Channel,Watch_Time_Mins,Quizzes_Completed,Converted_To_Paid,Subscription_Tier,Total_Revenue_INR
USR000001,2024-01-01 00:00:00,South,Google Ads,23.13,1,0,None (Expired Trial),0.0
USR000002,2024-01-01 00:00:00,north,YouTube Organic,33.58,3,0,None (Expired Trial),0.0
USR000003,2024-01-01 00:00:00,East,Google Ads,84.44,6,1,Basic Monthly,499.0
USR000004,2024-01-01 00:00:00,North,Google Ads,106.48,13,1,Basic Monthly,499.0
USR000005,2024-01-01 00:00:00,East,Google Ads,10.31,0,0,None (Expired Trial),0.0
USR000006,2024-01-01 00:00:00,West,YouTube Organic,74.48,5,0,None (Expired Trial),0.0
USR000007,2024-01-01 00:00:00,East,YouTube Organic,58.43,3,0,None (Expired Trial),0.0
USR000008,2024-01-01 00:00:00,East ,Google Ads,43.37,2,0,None (Expired Trial),0.0
USR000009,2024-01-01 00:00:00,South,Meta Ads,35.51,2,0,None (Expired Trial),0.0
USR000010,2024-01-01 00:00:00,south,Meta Ads,94.07,12,1,Basic Monthly,499.0
USR000011,2024-01-01 00:00:00,North,,,4,0,None (Expired Trial),0.0
USR000012,2024-01-01 00:00:00,East,Google Ads,56.22,3,0,None (Expired Trial),0.0
USR000013,2024-01-01 00:00:00,south,LinkedIn Business,35.44,5,0,None (Expired Trial),0.0
USR000014,2024-01-01 00:00:00,South,Meta Ads,25.25,1,0,None (Expired Trial),0.0
USR000015,2024-01-01 00:00:00,South,Meta Ads,40.59,4,0,None (Expired Trial),0.0
USR000016,2024-01-01 00:00:00,North,Meta Ads,163.56,12,1,Premium Annual,7999.0
USR000017,2024-01-01 00:00:00,East,Meta Ads,59.39,3,0,None (Expired Trial),0.0
USR000018,2024-01-01 00:00:00,North,Meta Ads,19.37,2,0,None (Expired Trial),0.0
USR000019,2024-01-01 00:00:00,West,YouTube Organic,71.28,5,0,None (Expired Trial),0.0
USR000020,2024-01-01 00:00:00,west,Meta Ads,111.61,8,0,None (Expired Trial),0.0
USR000021,2024-01-01 00:00:00,East,Meta Ads,184.44,21,1,Basic Monthly,499.0
USR000022,2024-01-01 00:00:00,North,Google Ads,11.28,0,0,None (Expired Trial),0.0
USR000023,2024-01-01 00:00:00,West,Meta Ads,53.3,4,0,None (Expired Trial),0.0
USR000024,2024-01-01 00:00:00,South,LinkedIn Business,15.01,1,0,None (Expired Trial),0.0
USR000025,2024-01-01 00:00:00,North,YouTube Organic,90.15,5,0,None (Expired Trial),0.0
USR000026,2024-01-01 00:00:00,North,Google Ads,36.79,2,0,None (Expired Trial),0.0
USR000027,2024-01-01 00:00:00,North,Meta Ads,115.24,12,0,None (Expired Trial),0.0
USR000028,2024-01-01 00:00:00,North,Meta Ads,98.72,6,0,None (Expired Trial),0.0
USR000029,2024-01-01 00:00:00,North,Google Ads,28.93,3,0,None (Expired Trial),0.0
USR000030,2024-01-01 00:00:00,West,Google Ads,38.94,2,0,None (Expired Trial),0.0
USR000031,2024-01-01 00:00:00,West,Meta Ads,38.3,4,0,None (Expired Trial),0.0
USR000032,2024-01-01 00:00:00,East,Google Ads,34.68,4,0,None (Expired Trial),0.0
USR000033,2024-01-01 00:00:00,North,Google Ads,56.29,4,0,None (Expired Trial),0.0
USR000034,2024-01-01 00:00:00,North,Google Ads,26.17,3,0,None (Expired Trial),0.0
USR000035,2024-01-01 00:00:00,South,YouTube Organic,19.64,2,0,None (Expired Trial),0.0
USR000036,2024-01-01 00:00:00,East,Google Ads,100.76,12,1,Premium Monthly,999.0
USR000037,2024-01-01 00:00:00,West,Google Ads,45.33,3,1,Premium Monthly,999.0
USR000038,2024-01-01 00:00:00,West,Google Ads,16.51,1,0,None (Expired Trial),0.0
USR000039,2024-01-01 00:00:00,West,Meta Ads,29.24,2,0,None (Expired Trial),0.0
USR000040,2024-01-01 00:00:00,North,Meta Ads,51.67,7,0,None (Expired Trial),0.0
USR000041,2024-01-01 00:00:00,North,Meta Ads,246.92,15,0,None (Expired Trial),0.0
USR000042,2024-01-01 00:00:00,N_Reg,Google Ads,197.53,28,0,None (Expired Trial),0.0
USR000043,2024-01-01 00:00:00,North,Meta Ads,16.5,1,0,None (Expired Trial),0.0
USR000044,2024-01-01 00:00:00,East,Google Ads,60.73,8,0,None (Expired Trial),0.0
USR000045,2024-01-01 00:00:00,West ,Meta Ads,11.18,0,0,None (Expired Trial),0.0
USR000046,2024-01-01 00:00:00,North,Meta Ads,62.13,7,0,None (Expired Trial),0.0
