User_ID,Signup_Date,Region,Acquisition_Channel,Watch_Time_Mins,Quizzes_Completed,Converted_To_Paid,Subscription_Tier,Total_Revenue_INR
USR097414,2025-12-11 00:00:00,South,Meta Ads,45.25,4,0,None (Expired Trial),0.0
USR009139,2024-03-07 00:00:00,North,LinkedIn Business,38.61,5,1,Premium Annual,7999.0
USR089079,2025-10-11 00:00:00,West,Meta Ads,96.31,12,1,Basic Monthly,499.0
USR042333,2024-11-04 00:00:00,North,YouTube Organic,76.38,6,1,Basic Monthly,499.0
USR036833,2024-09-24 00:00:00,North,Google Ads,165.08,22,0,None (Expired Trial),0.0
USR013689,2024-04-09 00:00:00,South,Google Ads,57.1,6,1,Basic Monthly,499.0
USR024156,2024-06-25 00:00:00,West,LinkedIn Business,11.63,0,0,None (Expired Trial),0.0
USR051251,2025-01-08 00:00:00,East,Meta Ads,63.31,7,0,None (Expired Trial),0.0
USR002443,2024-01-18 00:00:00,East,LinkedIn Business,30.44,3,0,None (Expired Trial),0.0
USR081195,2025-08-15 00:00:00,North,YouTube Organic,128.15,11,1,Basic Monthly,499.0
USR021063,2024-06-02 00:00:00,North,YouTube Organic,30.49,2,0,None (Expired Trial),0.0
USR000656,2024-01-05 00:00:00,West,Meta Ads,93.34,10,1,Basic Monthly,499.0
USR057844,2025-02-24 00:00:00,South,Meta Ads,153.06,19,1,Basic Monthly,499.0
USR056508,2025-02-15 00:00:00,north,Google Ads,15.77,1,0,None (Expired Trial),0.0
USR072297,2025-06-11 00:00:00,North,Meta Ads,62.63,5,0,None (Expired Trial),0.0
USR026065,2024-07-08 00:00:00,South,YouTube Organic,22.5,2,0,None (Expired Trial),0.0
USR014668,2024-04-16 00:00:00,North,Meta Ads,11.15,1,0,None (Expired Trial),0.0
USR055602,2025-02-08 00:00:00,North,YouTube Organic,60.16,5,1,Basic Monthly,499.0
USR086257,2025-09-20 00:00:00,East,Meta Ads,44.33,3,1,Basic Monthly,499.0
USR029274,2024-08-01 00:00:00,West,YouTube Organic,48.18,2,0,None (Expired Trial),0.0
USR085058,2025-09-11 00:00:00,South,Meta Ads,,7,0,None (Expired Trial),0.0
USR069992,2025-05-26 00:00:00,East,YouTube Organic,60.38,4,0,None (Expired Trial),0.0
USR087550,2025-09-30 00:00:00,South,LinkedIn Business,56.54,7,1,Basic Monthly,499.0
